file,workflow,role,monthly_hours_low,monthly_hours_high,effort_steps,automated_steps,cadence_only_steps,qualitative_steps,elapsed_days_low,elapsed_days_high,per_unit_rates,live_or_dormant,dormant_capabilities
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W129,Private Label Mgr,0.00,0.00,0,0,0,0,2.0,2.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W129,QA Specialist,0.00,0.00,0,0,0,0,30.0,90.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W129,Sourcing Spec,0.00,0.00,0,0,0,0,62.0,64.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1422,Buyer,4.00,6.67,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1422,Category Manager,3.33,5.00,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1422,DC Supervisor,8.66,17.32,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1422,FP&A Analyst,2.67,4.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1422,Import Coordinator,6.67,13.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1422,Supply Planning Manager,15.33,30.65,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1422,VP Merchandising,4.00,6.67,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1487,Category Manager,5.33,8.00,1,0,0,0,0.0,0.0,2.00-3.00h/event,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1487,Garden Center Associate,26.03,36.88,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1487,Merchandise Planner,0.00,0.00,0,0,0,1,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1487,Vendor Account Manager,0.00,0.00,0,0,0,1,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1513,Category Manager,5.33,8.00,1,0,0,0,8.0,16.0,1.00-1.00h/supplier,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1513,Merchandise Planner,5.33,8.00,1,0,0,0,7.0,14.0,2.00-3.00h/supplier,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1513,QA Specialist,0.00,0.00,0,0,0,0,1.0,2.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1513,Sourcing Manager,0.00,0.00,0,0,0,0,14.0,28.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1547,Buyer,0.00,0.00,0,0,0,0,1.0,3.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1547,Regulatory Officer,1.33,1.33,1,0,0,0,0.0,0.0,0.33-0.33h/sku; 0.17-0.17h/sku; 0.25-0.25h/renewal; 0.50-0.50h/event,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W264,Buyer,0.00,0.00,0,0,0,1,2.0,3.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W264,Category Manager,0.00,0.00,0,0,0,1,6.0,9.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W264,VM Coordinator,0.00,0.00,0,0,0,0,1.0,1.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W564,Category Manager,21.70,21.70,1,0,0,1,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W564,Department Supervisors,0.00,0.00,0,0,0,0,0.0,0.0,2.00-4.00h/store; 0.50-1.00h/department,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W564,Stock Associates,0.00,0.00,0,0,0,0,0.0,0.0,2.00-4.00h/store,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W564,Supply Planning,21.70,21.70,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W624,Visit Team,0.00,0.00,0,0,0,0,0.0,0.0,2.00-2.00h/visit; 0.50-0.50h/visit,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W64,Buyer,0.00,0.00,0,0,1,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W64,Category Manager,0.50,0.50,1,0,0,0,0.0,0.0,1.00-2.00h/pilot; 1.00-1.00h/pilot; 0.25-0.25h/store; 2.00-2.00h/pilot,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W64,Merchandise Planner,0.00,0.00,0,0,1,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W64,Pricing Analyst,2.17,2.17,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W64,Supply Planner,0.00,0.00,0,0,0,0,0.0,0.0,0.50-0.50h/pilot,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W679,Buyer,0.00,0.00,0,0,0,0,2.0,2.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W679,Category Manager,0.00,0.00,0,0,0,0,6.0,6.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W679,Pricing Analyst,0.00,0.00,0,0,0,0,1.0,1.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W679,Space Planning Analyst,0.00,0.00,0,0,0,0,1.0,1.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W679,System (automated),0.00,0.00,0,0,1,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,AP Clerk,0.00,0.00,0,0,0,0,0.0,0.0,1.00-1.00h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,Buyer,0.00,0.00,0,0,0,0,0.0,0.0,3.00-3.00h/campaign; 1.00-1.00h/campaign; 2.00-2.00h/campaign; 1.00-1.00h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,Category Manager,0.00,0.00,0,0,0,0,0.0,0.0,2.00-2.00h/campaign; 1.00-1.00h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,DC Supervisor,0.00,0.00,0,0,0,0,0.0,0.0,2.00-2.00h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,Dept. Supervisor,0.00,0.00,0,0,0,0,0.0,0.0,2.00-2.00h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,Merchandise Planner,0.00,0.00,0,0,0,0,0.0,0.0,1.00-1.00h/campaign; 0.50-0.50h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,Pricing Analyst,2.17,2.17,1,0,0,0,0.0,0.0,2.00-2.00h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,Supply Planner,0.00,0.00,0,0,0,0,0.0,0.0,0.50-0.50h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W68,VP Merchandising,0.00,0.00,0,0,0,0,0.0,0.0,0.50-0.50h/campaign,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W830,Category Manager,0.00,0.00,0,0,0,0,0.0,0.0,0.25-0.50h/sku; 0.25-0.50h/sku,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W830,Finance Analyst,0.00,0.00,0,0,0,0,0.0,0.0,0.25-0.50h/sku,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W830,Merchandise Planner,3.08,4.08,2,1,0,0,0.0,0.0,0.17-0.25h/sku; 0.50-1.00h/sku; 0.50-0.50h/sku; 0.50-1.00h/sku; 0.25-0.50h/sku,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W830,Procurement Analyst,0.00,0.00,0,0,0,0,0.0,0.0,1.00-2.00h/vendor,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W830,Store Ops Manager,1.08,1.08,1,0,0,0,0.0,0.0,0.50-1.00h/sku,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W900,Marketing Coordinator,0.00,0.00,0,0,0,0,3.0,5.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W900,Merchandise Planner,0.00,0.00,0,0,0,0,3.0,5.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W900,Store Manager,0.00,0.00,0,0,0,0,3.0,5.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W900,Vendor,0.00,0.00,0,0,0,0,3.0,5.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W908,Category Manager,3.17,4.50,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W908,DC,0.00,0.00,0,0,0,0,0.0,0.0,2.00-3.00h/event,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W908,Marketing Coordinator,0.00,0.00,0,0,0,0,0.0,0.0,4.00-6.00h/event,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W908,Store Manager,3.50,4.83,2,0,0,0,0.0,0.0,4.00-6.00h/event,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W908,Supply Planning,0.00,0.00,0,0,0,0,0.0,0.0,2.00-3.00h/event,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W910,Category Manager,2.00,3.00,1,0,0,0,0.0,0.0,4.00-6.00h/opportunity; 4.00-8.00h/bundle; 2.00-4.00h/bundle; 4.00-6.00h/bundle,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W910,DC Operations,0.00,0.00,0,0,0,0,0.0,0.0,2.00-4.00h/bundle,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W910,Marketing Coordinator,0.00,0.00,0,0,0,0,0.0,0.0,4.00-6.00h/bundle,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W910,Pricing Analyst,0.00,0.00,0,0,0,0,0.0,0.0,4.00-8.00h/bundle,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W910,Vendor,0.00,0.00,0,0,0,0,0.0,0.0,4.00-6.00h/opportunity,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W925,Category Manager,13.33,19.00,4,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W925,Finance,2.00,3.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W925,Merchandise Planner,8.00,11.00,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W925,Procurement,2.00,3.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W925,Store Operations,4.00,6.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W925,Vendor,1.33,2.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W107,Category Manager,0.67,0.67,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W107,IT,1.33,1.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W107,Internal Audit,3.33,3.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W107,Pricing Analyst,11.66,11.66,5,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W107,Store Ops,1.33,1.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1231,Category Manager,4.33,4.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1231,Pricing Analyst,21.65,21.65,4,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1231,Stock Associate,0.00,0.00,0,0,0,0,0.0,0.0,0.25-0.25h/store,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1231,Store Manager,0.00,0.00,0,0,0,0,0.0,0.0,0.25-0.25h/store,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1278,Category Manager,8.66,8.66,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1278,Department Supervisor,3.94,3.94,3,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1278,Pricing Analyst,16.99,16.99,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W1278,System,0.00,0.00,0,1,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W13,Category Manager,0.00,0.00,0,0,1,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W13,Dept. Supervisor,0.00,0.00,0,0,0,0,0.0,0.0,1.00-2.00h/promo,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W13,Marketing,0.00,0.00,0,0,0,0,7.0,14.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W13,Pricing Analyst,10.85,10.85,1,0,0,0,0.0,0.0,2.00-4.00h/promo; 1.00-2.00h/promo; 2.00-2.00h/promo,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W13,Regional Manager,0.00,0.00,0,0,0,0,1.0,2.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W13,System,0.00,0.00,0,3,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W130,Pricing Analyst,47.63,47.63,3,0,2,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W130,Store Assoc,17.32,17.32,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W181,System,0.00,0.00,0,1,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W27,AP Clerk,0.00,0.00,0,0,1,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W27,Buyer,0.67,0.67,1,0,1,0,0.0,0.0,0.25-0.25h/agreement; 0.50-0.50h/vendor; 1.00-1.00h/occurrence,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W27,Cost Accountant,2.00,2.00,1,0,0,0,0.0,0.0,0.25-0.25h/vendor,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W27,System,0.00,0.00,0,3,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W329,Pricing Analyst,5.42,5.42,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W329,VP Merchandising,5.42,5.42,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W40,Buyer,0.00,0.00,0,0,0,0,0.0,0.0,0.17-0.17h/vendor,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W40,Category Manager,0.00,0.00,0,0,0,0,0.0,0.0,0.50-1.00h/batch,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W40,Dept. Supervisor,0.00,0.00,0,0,0,0,0.0,0.0,0.50-1.00h/price,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W40,Pricing Analyst,1.00,1.00,1,0,0,0,0.0,0.0,2.00-4.00h/vendor; 0.08-0.08h/sku,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W40,System,0.00,0.00,0,4,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W40,VP,0.00,0.00,0,0,0,0,0.0,0.0,0.50-1.00h/batch,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W515,FP&A Analyst,0.33,0.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W515,Loyalty Analyst,0.67,0.67,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W515,Loyalty Program Manager,1.33,1.33,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W515,System,0.00,0.00,0,5,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W63,Dept. Supervisor,0.00,0.00,0,0,0,0,0.0,0.0,0.08-0.08h/correction,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W63,IT,0.00,0.00,0,0,0,0,0.0,0.0,0.25-0.50h/batch+store,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W63,Stock Associate,0.00,0.00,0,0,0,0,0.0,0.0,0.50-1.00h/batch,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W63,Stock Associate (HQ),0.00,0.00,0,0,0,0,0.0,0.0,1.00-2.00h/batch,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W63,System,0.00,0.00,0,1,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W678,Pricing Analyst,10.85,10.85,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W678,System (automated),0.00,0.00,0,0,1,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W737,Category Manager,2.17,4.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W737,Pricing Analyst,17.32,34.64,3,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W738,Category Manager,1.33,2.00,1,0,0,0,0.0,0.0,2.00-4.00h/vendor,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W738,Finance Manager,3.33,6.00,2,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W738,Trade Marketing Mgr,4.67,8.00,3,0,0,0,0.0,0.0,2.00-4.00h/vendor; 1.00-2.00h/promotional,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W93,Category Manager,2.17,2.17,1,0,0,0,0.0,0.0,2.00-2.00h/clearance,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W93,Per tier above,0.00,0.00,0,0,0,0,0.0,0.0,0.08-0.25h/approval,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W93,Pricing Analyst,2.17,2.17,1,0,0,0,0.0,0.0,2.00-2.00h/clearance; 0.08-0.08h/sku; 0.05-0.05h/sku; 1.00-1.00h/event,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,W93,Stock Associate,0.00,0.00,0,0,0,0,0.0,0.0,0.50-0.50h/event+store,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.3-product-information-and-content.md,W1313,Category Manager,0.00,0.00,0,0,0,0,0.0,0.0,1.00-2.00h/display,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.3-product-information-and-content.md,W1313,Department Supervisor,0.00,0.00,0,0,0,0,0.0,0.0,0.33-0.33h/display; 0.50-0.50h/store,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.3-product-information-and-content.md,W1313,Visual Merchandising Coordinator,0.00,0.00,0,0,0,0,0.0,0.0,1.00-2.00h/display; 0.33-0.33h/display; 0.50-0.50h/store,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.3-product-information-and-content.md,W1345,Category Manager,2.00,2.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.3-product-information-and-content.md,W1345,Content Manager,3.33,3.33,1,0,0,0,0.0,0.0,0.25-0.25h/template,live,
